tank_liquidlevel,flowlevel,bottle_liquidlevel,motor_status
3.54282407407407,0.0,0.0,0
3.54282407407407,0.0,0.0,0
3.54282407407407,0.0,0.0,0
3.53148148148148,0.0,0.0,0
3.53148148148148,0.0,0.0,0
3.53148148148148,0.0,0.0,0
3.53148148148148,0.0,0.0,0
3.53148148148148,0.0,0.0,0
3.37268518518518,0.0,0.226851851851852,0
3.36134259259259,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.34999999999999,0.0,0.226851851851852,0
3.3386574074074,0.0,0.226851851851852,0
3.3386574074074,0.0,0.226851851851852,0
3.3386574074074,0.0,0.226851851851852,0
3.3386574074074,0.0,0.226851851851852,0
3.15717592592592,0.0,0.476388888888889,0
3.15717592592592,0.0,0.476388888888889,0
3.15717592592592,0.0,0.476388888888889,0
3.15717592592592,0.0,0.476388888888889,0
3.15717592592592,0.0,0.476388888888889,0
3.07777777777777,0.0,0.567129629629629,0
3.07777777777777,0.0,0.567129629629629,0
3.07777777777777,0.0,0.567129629629629,0
3.07777777777777,0.0,0.567129629629629,0
3.06643518518517,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.05509259259258,0.0,0.567129629629629,0
3.04374999999999,0.0,0.567129629629629,0
3.04374999999999,0.0,0.567129629629629,0
3.04374999999999,0.0,0.567129629629629,0
3.04374999999999,0.0,0.567129629629629,0
3.04374999999999,0.0,0.567129629629629,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
2.79421296296295,0.0,0.884722222222222,0
5.64120370370371,2.45,0.340277777777778,0
5.47106481481483,2.45,0.635185185185185,0
5.25555555555557,2.45,0.907407407407407,1
4.82453703703705,2.45,0.680555555555555,0
4.66574074074075,2.45,0.907407407407407,1
4.39351851851852,2.45,0.340277777777778,0
4.04189814814815,0.0,0.907407407407407,1
3.61087962962963,2.45,0.771296296296296,0
3.52013888888888,0.0,0.907407407407407,1
3.31597222222221,2.45,0.340277777777778,0
3.13449074074073,2.45,0.65787037037037,0
2.78287037037036,2.45,0.340277777777778,0
2.59004629629628,2.45,0.680555555555555,0
2.19305555555553,2.45,0.385648148148148,0
2.01157407407405,2.45,0.680555555555555,0
1.84143518518516,2.45,0.907407407407407,1
1.58055555555553,2.45,0.272222222222222,0
1.24027777777774,0.0,0.907407407407407,1
1.01342592592589,2.45,0.340277777777778,0
0.831944444444408,2.45,0.680555555555555,0
0.695833333333297,0.0,0.907407407407407,1
0.44629629629626,2.45,0.385648148148148,0
0.298842592592556,2.45,0.680555555555555,1
0.298842592592556,2.45,0.748611111111111,1
